bit_value,bit_name
1,Twist Fate
2,Invulnerability 25
4,Swiftness
8,Mossbody
16,Radiant Fear +0
32,+5 Defence if underwater
64,Trample
128,Magic Power
256,<Unknown>
512,Item Nofind
1024,Pretender
2048,Soul Vortex
4096,Earth Power
8192,Storm Power
16384,Charged Body 20AN
32768,Fire Shield
65536,Mistform
131072,Hell Power
262144,Fire Power
524288,Water Power
1048576,Nature Power
2097152,Charge bonus was used
4194304,Twiceborn
8388608,Returning
16777216,Mirrored Image
33554432,Unholy Power
67108864,Inner Sun
134217728,Phoenix Pyre
268435456,Astral Shield
536870912,Regeneration 10%
1073741824,Dragon Mastery
2147483648,Conservative gem usage enabled
4294967296,Fool's Luck
8589934592,Fool's Luck will block next attack
17179869184,Invulnerability 15
34359738368,<Unknown>
68719476736,Reinvigoration
1.37439E+11,Charge Body 10AN
2.74878E+11,Blood Surge
5.49756E+11,Awaken Tattoos
1.09951E+12,Invulnerability 15 (wolves only)
2.19902E+12,Rebirth enchantment
4.39805E+12,<Unknown>
8.79609E+12,<Unknown>
1.75922E+13,<Unknown>
3.51844E+13,<Unknown>
7.03687E+13,<Unknown>
1.40737E+14,<Unknown>
2.81475E+14,<Unknown>
5.6295E+14,<Unknown>
1.1259E+15,<Unknown>
2.2518E+15,<Unknown>
4.5036E+15,<Unknown>
9.0072E+15,<Unknown>
1.80144E+16,<Unknown>
3.60288E+16,<Unknown>
7.20576E+16,<Unknown>
1.44115E+17,<Unknown>
2.8823E+17,<Unknown>
5.76461E+17,<Unknown>
1.15292E+18,<Unknown>
2.30584E+18,<Unknown>
4.61169E+18,<Unknown>
